No of dam,WARMS Dam ID,Name of dam,Water management area,Quaternary Drainage Area,Latitude deg,Lat min,Lat sec,Longitude deg,Long min,Long sec,Town nearest,Distance from Town,Name of farm,Municipal District,Province code,Region Code,Completion date,Completion date raised,River or Watercourse,Wall type,Wall height,Crest Length (m),Spillway Type,Capacity (1000 cub m),Surface area (ha),Catchment area (sq km)),Purpose,Owner Name,Designer,Contractor,Registration date,Size,Hazard Potential,Category,Classification date,Sector,Date Last DSI,Number Last DSI,Target date
A100/02,2016,NGOTWANE DAM,1,A10A,25,11,54,25,48,48,LOBATLENG,3,MOILWAS 900 JO,JO,NORTH WEST,NORTH WEST,,,NGOTWANE,EARTHFILL,19,290,SIDE CHANNEL,18800,390,518,IRRIGATION,DEPT. OF WATER & SANITATION,EKSTEEN Van Der WALT & NISSEN,UNKNOWN,5/1/1995,Medium,Significant,2,7/1/1991,W,12/8/2009,3,
A210/01,2019,ROODEKOPJES DAM,1,A21K,25,24,24,27,34,39,BRITS,31,"ROODEKOPJES 203, BEESTEKRAAL JQ",BRITS,NORTH WEST,NORTH WEST,1986,,KROKODIL,EARTHFILL & GRAVITY,25,3910,CONTROLLED OGEE WITH RADIAL GATES,103000,1571,6120,"IRRIGATION, DOMESTIC AND INDUSTRIAL USE",DEPT. OF WATER & SANITATION,STATE (DWA),STATE (DWA),1/6/1987,Medium,High,3,4/12/1989,W,2/9/2011,3,
A210/02,2076,HARTBEESPOORT DAM,1,A21H,25,43,32.3,27,50,54.1,BRITS,9.5,HARTEBEESFONTEIN,BRITS,GAUTENG,NORTH WEST,1923,1969,CROCODILE,ARCH,59,140,GATED SIDE CHANNEL,195000,2062.8,4120,"IRRIGATION,DOMESTIC AND INDUSTRIAL USE",DEPT. OF WATER & SANITATION,STATE (DWAF),STATE (DWAF),12/31/1986,Large,High,3,1/3/1989,W,3/26/2014,4,
A210/03,2121,BUFFELSPOORT DAM,1,A21K,25,46,49.5,27,29,14.5,RUSTENBURG,26,BUFFELSPOORT 343 JQ,RUSTENBURG,NORTH WEST,NORTH WEST,1937,1967,STERKSTROOM,ARCH,31,166.56,OGEE,10330,135.7,114,IRRIGATION AND INDUSTRIAL USE,DEPT. OF WATER & SANITATION,DWA,DWA,1/6/1987,Large,High,3,11/18/1987,W,8/15/2011,4,
A211/42,,KNOPJESLAAGTE DAM 3,3,A21B,25,55,9,28,3,38,VERWOERDBURG,12,KNOPJESLAAGTE 385 JR PORTION 179,JR,GAUTENG,NORTH WEST,1983,,SWARTBOOI SPRUIT,EARTHFILL,8,210,SIDE CHANNEL SPILLWAY,142,5,,IRRIGATION,BELLE LUCIA (EDMS.) BPK.,OWNER,OWNER,4/1/1987,Small,Significant,2,1/21/2010,A,,0,
A211/43,,NORTH DAM (prevoiusly DOW CHLOORKOP NORTH DAM),3,A21B,26,2,27,28,11,29,KEMTON PARK,3,MOOIFONTEIN 14 PORTIONS 48 & 49,KEMPTON PARK,GAUTENG,NORTH WEST,2013,1991,TEMBISA SPRUIT,CONCRETE BUTTRESS,12,333,CONCRETE SHARP CRESTED WEIR,245,10,10.4,POLLUTION CONTROL,NCP CHLORCHEM (PTY) LTD,DWA,UNKNOWN,10/31/1986,Medium,High,3,3/1/2001,O,11/25/2009,3,1/31/2018
A211/44,,SOUTH DAM (previously DOW CHLOORKOP SOUTH DAM),3,A21B,26,2,53,28,11,35,KEMPTON PARK,3,MOOIFONTEIN 14 PORTIONS 48 & 49,KEMPTON PARK,GAUTENG,NORTH WEST,2013,2004,TEMBISA SPRUIT,BUTTRESS & EARTHFILL,10.1,272,CONCRETE SHARP CRESTED WEIR,124,5,7.3,POLLUTION CONTROL,NCP CHLORCHEM (PTY) LTD,DWA,UNKNOWN,10/31/1986,Small,High,2,1/18/1989,O,11/25/2010,3,
A211/46,,OLIFANTSPRUIT-ONDERSTE DAM,3,A21B,25,56,18.1,28,12,11.1,OLIFANTSFONTEIN,2,OLIFANTSFONTEIN 410 PTN. 7,JR,GAUTENG,NORTH WEST,1970,,OLIFANT SPRUIT,EARTHFILL,7,285,OPEN CHANNEL,220,10,20.5,IRRIGATION,SUMMER SYMPHONY 264 cc,LA GRANGE L. DR.,ELLIS J.,8/28/1987,Small,Significant,2,7/21/1994,A,9/11/2014,2,6/17/2020
A211/47,0,OLIFANTSPRUIT-BOONSTE DAM,1,A21B,25,56,40.7,28,11,24.6,OLIFANTSFONTEIN,3,OLIFANTSFONTEIN 410 PTN 15,JR,LIMPOPO,LIMPOPO,1970,,OLIFANTS\ SPRUIT,EARTHFILL,11,325,OPEN CHANNEL,450,12,0,IRRIGATION,SUMMER SYMPHONY PROP 264 cc,,,8/28/1987,Small,Significant,2,7/21/1994,A,2/28/2007,2,6/30/2016
A211/49,531,LEWIS,3,A21B,25,53,37.3,28,2,12.7,VERWOERDBURG,17,KNOPJESLAAGTE 385 JR,JR,GAUTENG,NORTH WEST,1992,,SWARTBOOI SPRUIT,EARTHFILL,6,350,OPEN CHANNEL,69,5,,IRRIGATION,LEWIS A.C.J.H.,OWNER,OWNER,8/5/1992,Small,Low,1,11/3/1992,A,,0,7/31/2010
